Name,Photo,Mastodon,Twitter,Instagram,LinkedIn,Biography
Judit Guimera Busquets,img/speakers/judit_guimera.jpg,,,,https://www.linkedin.com/in/judit-guimera-busquets-696ab74a/,"I'm an engineer by heart, graduated as an aeronautical engineer in 2007 at the Universitat Politecnica de Catalunya (Barcelona) and went to work as a quality engineer for pressure vessels at Bureau Veritas in the area of Barcelona. Later on, as I wanted to go back to the aviation sector, I went back to study and graduated with a BEng in Air Transportation from City, University of London in 2013. After graduating at City I did my PhD there focused on 'Developing Advanced Methods to Predict Air Traffic Network Growth'. During my PhD I learned about machine learning, data mining and data science and I've never looked back again. I worked for Virgin Atlantic as an analyst at its cargo and passenger side division; then I've moved to Royal Mail as a data scientist and I'm currently a principal data scientist at Datasparq, an AI & Data service provider which focuses on solving complex business challenges."
Mariana Oliveira,img/speakers/mariana_oliveira.jpg,,,mamariana_oliveira,https://www.linkedin.com/in/mariana-oliveira-b84a49211,"Sou Mariana Oliveira! Graduanda em Engenharia da Complexidade na Universidade Católica de Pernambuco, faço parte do Pyladies Recife e apaixonada por Tecnologia e a Cultura Maker!. Estou me especializando na área de Robótica/ IoT,  usando Python como linguagem base para o desenvolvimento de softwares e utilizando sistemas embarcados como Raspberry Pi e Arduino como base de desenvolvimento de novos hardwares. Estou aprimorando os conhecimentos em Python e Open CV, para desenvolver novos projetos com o foco de usar Visão Computacional em Sistemas Embarcados."
Bilge Yücel,img/speakers/bilge_yücel.jpg,@bilgeyucel@sigmoid.social,bilgeycl,,https://www.linkedin.com/in/bilge-yucel/,"Bilge is a developer advocate at deepset, working with Haystack, an open source LLM framework. With over two years of experience as a Software Engineer, she developed a strong interest in NLP and pursued a master's degree in Artificial Intelligence at KU Leuven with a focus on NLP. Now, she enjoys working with Haystack, writing tutorials, and helping the community build NLP applications. ✨🥑"
Rossana Suarez,img/speakers/rossana_suarez.jpg,,roxsross,roxsross,https://www.linkedin.com/in/roxsross/,"Ingeniera en Sistemas, Tech Lead DevOps, #AWSHero, #GitlabHero y #DockerCaptain Su experiencia como Mentor y Content Creator, así como su canal de YouTube 295devops"
Ana Dulce Padovan,img/speakers/ana_dulce.jpg,,4naDulceP,anadulcep,,"Co-fundadora do PyLadies São Carlos, presidente da Associação Python Brasil, organizadora da Python Brasil e PSF Fellow member."
Sarah Abderemane,img/speakers/sarah_abderemane.jpg,@sabderemane@mastodon.social,sabderemane_,,https://www.linkedin.com/in/sarahabd/,"Meet Sarah Abderemane, also known as sabderemane, a french backend developer with few years of experience. She works at Octopus Energy France to contribute to climate change. She organises the Django Paris meetup and is an active member of the Django community: member of the Django Accessibility team and maintainer of djangoproject.com."
Winnie Ke,img/speakers/winnie_ke.jpg,,,,,"Winnie is the Chair of PyCon Taiwan 2023. She is working as a software engineer at Applied Materials. During my time as a student, I began my journey with Python and got involved in numerous side projects that allowed me to immerse myself in the vibrant Python community. My passion for contributing to this community started to flourish. In 2019, I joined the program committee, and in 2020, I proudly served as the program chair. In 2022, I led the development of an online conference via Gather Town. Now, I'm honored to be the Chairperson for PyCon Taiwan 2023, the first female and youngest Chairperson in its history. My journey with PyCon Taiwan has been exciting, and I'm eager to continue contributing to this vibrant community."
Jessica Temporal,img/speakers/jessica_temporal.jpg,@jesstemporal@mastodon.online,jesstemporal,,http://linkedin.com/in/jessicatemporal/,"Jessica Temporal is a Sr. Developer Advocate at Auth0 by Okta. Co-founder and co-host of the first Brazilian podcast about data science Pizza de Dados. GitHub Star, author of ""The Big Git Microbook"" and creator of GitFichas, collection of Git study cards. Also loves to knit and picking up new skills on YouTube, right now learning to play the keyboard and how to do digital drawings."
Marina Moro López,img/speakers/marina_moro.jpg,,marinamorolopez,,https://www.linkedin.com/in/marinamorolopez/,Ingeniera biomédica y futura doctora en biomedicina formada en España. Apasionada del mundo bio y de la programación. Uso Python para facilitarme la vida en mi carrera científica :)
Cecilia Tivir,img/speakers/cecilia_tivir.png,,ctivir,ctivir,https://www.linkedin.com/in/ctivir/,"Cecilia é Co-Fundadora da PyLadies Maputo e da Wansati Lab. Actualmente estudante e pesquisadora (main field: AI and Education). Também, professora, mentora e organizadora de eventos sobre Tech e ama a natureza."
Maaya Ishida,img/speakers/maaya_ishida.jpg,,,,,"I have organized PyLadies Tokyo since 2014. And I'm one of the staffs the PyLadies Caravan project supported by PyCon JP Association which means road show at outside Tokyo.  After graduate for University(my subject is Philosophy!) I started career at Test Engineer in quality management team.  After a few years, I changed role the Test Engineer to System Engineer at small company which has developed Recommendation and Analysis Models. I was interested in cloud architect, so I became a Cloud Solution Architect for AWS, OCI and Azure at next company. At this time, I was awarded the Microsoft MVP for Azure, so I become Microsoft Japan employee now. Current occupation is pre-sales architect especially　 　Azure PaaS and Development tools (include GitHub family)."
Ryllari Costa,img/speakers/ryllari_costa.jpg,,,,,"A proud Brazilian from the Northeast region. Software Engineer, bachelor's degree in Computer Engineering at Federal Institute of Education, Science and Technology of Ceará (IFCE) and master's student in Computer Science at the Federal Rural University of Semi-Arid (UFERSA) and State University of Rio Grande do Norte (UERN), where I am developing research in artificial intelligence applied to data collection. Member of PyLadies Brazil, where I was co-organizer of the PyLadies Fortaleza chapter between 2017 and 2020. Big Kahuna of the online edition of the Python Nordeste conference (2020/2021). Member of the Python Brazil community since 2017, I have worked locally in the Python User Groups of the states of Ceará (2017-2020) and Rio Grande do Norte (2021-present). I am an enthusiast of supporting and encouraging the growth of women in tech."
Mona Obedoza,img/speakers/mona_obedoza.jpg,,,,,"Mona Obedoza is a high schooler, tech enthusiast, and aspiring AI engineer, as well as a student ambassador for Women in AI Philippines and a co-leader of the Girls Can Code club in her school. She has participated and placed in numerous local and global tech competitions, and also hosts coding workshops and hackathons for students to further her mission of helping kids discover the many possibilities of how technology and AI can positively shape our world. In her free time, she enjoys watching anime, reading manga and fantasy novels, and baking cookies. You can learn more about her at sunshinebunnysoftware.tech."
Débora Azevedo (Host),img/speakers/débora_azevedo.jpg,,pydebb,,http://linkedin.com/in/debora-azevedo-1919b996,"English teacher for living and Python community member for I'm a believer in the transformative power it has on people. Came for the language as I was learning programming with Python and stayed for the community that changed my life forever. Master in Innovation with Education Technologies and Bachelor in IT, I'm one of the co-founder of PyLadies Brazil, the biggest network of PyLadies chapters in the world, and PyLadies Natal (my local chapter). I'm in the organization team of Python Nordeste, a regional Python conference in Brazil and as a broader work in the Python Community I serve as the vice president of the Python Software Foundation board of directors."
Denny Perez,img/speakers/denny_perez.jpg,,dennyperez18,,https://www.linkedin.com/in/dennyperez18/,Software QA Analyst. Python community manager. Python Software Foundation (PSF) Fellow & Director. Advocates diversity and inclusion within tech communities. PyLadies chapters organizer.
Mariana Bocoi,img/speakers/mariana_bocoi.jpg,,,,https://www.linkedin.com/in/marianabocoi/,"Mariana is part of the PyLadies Stockholm community and works as a DevOps/Infrastructure engineer. Before digging deeper into the clouds, she worked with backend development for over ten years. She is passionate about helping others and fostering belonging. Outside work, Mariana has a hobby of making hobbies, currently rediscovering vintage audio cassettes."
Joeun Park,img/speakers/joeun_park.jpg,,,,,"She was a staff member of PyConKR 2015-2018, including PyCon APAC 2016. While at PyConKR, she started Young Coder, Child Care as a mother of two children.PyCon Korea 2018, 2023 Speaker, and 2018, 2019, 2023 Tutorial Coach."
Lynn Root,img/speakers/lynn_root.jpg,@roguelynn@mastodon.online,roguelynn,roguelynn,https://www.linkedin.com/in/lynnroot,"Lynn Root is the Chair of the PyLadies Global Council, a member of the Python Software Foundation, and the former Vice Chair of the PSF's Board of Directors. She is also a Staff Engineer at Spotify, an Adjunct Professor at Columbia University's School of Engineering and Applied Sciences, and a seasoned speaker on building and maintaining distributed systems."
HanaPoulpe,,,,,,"Hana (she/they), former dev at amazon (python, AWS, database, dev ops, you name it), back-end dev at Kraken Tech. Work mainly with python, likes to think of testing and making code predictible."
Swarooprani Manoor,img/speakers/swarooprani.png,,,,https://www.linkedin.com/in/swaroopranimanoor,"Prof.Swarooprani Manoor is an Assistant Professor in the Department of Master of Computer Applications at KLS Gogte Institute of Technology, Karnataka India. She has over 18 years of teaching experience, and is proficient in Python Programming, Data science, Unix Shell Programming, and Blockchain Technology. She has conducted workshops on Python programming at various colleges and schools, and also conducted a workshop for school students under the banner of PyCon India 2023 (PyDiverse).  She is a passionate educator who is committed to helping students learn and grow. She is also a strong advocate for diversity and inclusion in STEM fields. In her spare time, Prof.Swarooprani Manoor, enjoys writing Technical Articles in Kannada language related to Computer Science domain and spending time with her family. She has won Quora Kannada Top Writer Award in the year 2021. She is also an avid reader and enjoys learning new things.  She graduated from college with a degree in Business Administration, and she then went on to earn a master's degree in Computer Applications. She is passionate about sharing her knowledge and expertise with others, and she is always looking for new ways to help people learn."
Marta Gomez,img/speakers/marta.png,,Mrs_DarkDonado,,https://www.linkedin.com/in/martagomezmacias/,"Marta is software engineer at VirusTotal, an online threat analysis platform which is part of Google Cloud Security. She has more than 6 years of experience in the cybersecurity industry and she coded in Python for almost 10 years."
Andrea Griffiths (Host),img/speakers/andrea.png,,ALAColombiaDev,,https://www.linkedin.com/in/alacolombiadev/,"Andrea Griffiths, a Senior Product Manager at GitHub, has over a decade of experience in developer tools. She focuses on enhancing the developer experience and advocates for user-centric solutions. Passionate about open-source and its potential for positive impact, Andrea aims to make the world a better place through tech."
Beatris Mendez Gandica,img/speakers/beatris.jpg,,,,https://www.linkedin.com/in/beagandica/,"Senior Program Manager at Microsoft, Founder, Speake, and Latina"
Stefanni Cavaletto,img/speakers/stefanni.jpg,,stefanni_ch,,https://www.linkedin.com/in/stefanni-cavaletto-hevia-bb4b015b,"Ingeniera especialista en Inteligencia Artificial para Google, con más de 10 años de experiencia en esta área. Fanática de los juegos de mesa y le encanta pasar tiempo de calidad con su familia. Ha desarrollado su carrera en el mundo de la nube, en proyectos relacionados a inteligencia artificial y en todo tipo de empresas. A tenido roles principalmente como ingeniera de cara a clientes y actualmente esta trabajando en Google para su plataforma en la nube (GCP). También realiza clases y le gusta realizar charlas para las comunidades, porque le entusiasma que toda la gente conozca más sobre tecnología."
Marian Villa,img/speakers/marian.jpg,,Marianvilla,,https://www.linkedin.com/in/marianvilla/,"Marian Villa es Diseñadora Senior Full-Stack. Fellow de la Real Academia de Ingeniería de Londres. Líder de comunidad en @Pionerasdev, recipiente del premio de Comunidad de Código Abierto de IBM 2020. Mentor de Google Launchpad, Experto en Desarrollo Web en las comunidades de Google y Embajador de Women Techmakers a nivel global. Desarrolladora, diseñadora y educadora,  apasionada por combinar habilidad de tecnología y desarrollo comunitario."
Lorena Mesa (Host),img/speakers/lorena.jpg,@LorenaNicole@mastodon.social,loooorenanicole,,https://www.linkedin.com/in/lorenamesa,"I’m an open source advocate, a data engineer and data scientist, Python educator, conference speaker, and a supporter of responsible, ethical technology.   I make it simple for people to discover, use, and contribute to open source by creating tech that enables you to sort through the noise and find projects that speak to you. Connecting the public to open source enables everyone to become a technical creator thereby democratizing open source and the communities that use them.  My goal is simple - to leave more behind than I take by making free, accessible, open source software available to all to use and to contribute to."
Marie-Louise Annan,img/speakers/marie-louise.jpg,,,,https://www.linkedin.com/in/marie-louise-annan-18776529/,UK Civil Service Data Scientist
Tania Allard,img/speakers/tania.png,,ixek,,https://www.linkedin.com/in/taniaallard,Tania is a community builder and Open Source advocate at heart.
Sarah Huang (Host),img/speakers/sarah.png,,_HurricaneSarah,,https://www.linkedin.com/in/sarahhuang,"Product Owner, CSPO, Top 10 Asia Forbes"
